GEOID,state,county,percent_new_test_results_reported_positive_7_day_rolling_average
23003,ME,Aroostook County,0.0
23005,ME,Cumberland County,9.81
23007,ME,Franklin County,0.0
23009,ME,Hancock County,0.0
23011,ME,Kennebec County,6.93
23013,ME,Knox County,0.0
23015,ME,Lincoln County,0.0
23017,ME,Oxford County,0.0
23019,ME,Penobscot County,5.16
23021,ME,Piscataquis County,0.0
23023,ME,Sagadahoc County,25.0
23025,ME,Somerset County,0.0
23027,ME,Waldo County,0.0
23029,ME,Washington County,0.0
23031,ME,York County,10.19
34001,NJ,Atlantic County,14.29
34003,NJ,Bergen County,54.62
34005,NJ,Burlington County,18.53
34007,NJ,Camden County,29.29
34009,NJ,Cape May County,0.0
34011,NJ,Cumberland County,0.0
34013,NJ,Essex County,52.11
34015,NJ,Gloucester County,16.76
34017,NJ,Hudson County,36.34
34019,NJ,Hunterdon County,0.0
34021,NJ,Mercer County,7.14
34023,NJ,Middlesex County,44.74
34025,NJ,Monmouth County,49.13
34027,NJ,Morris County,52.45
34029,NJ,Ocean County,61.28
34031,NJ,Passaic County,34.37
34033,NJ,Salem County,0.0
34035,NJ,Somerset County,47.86
34037,NJ,Sussex County,0.0
34039,NJ,Union County,43.44
34041,NJ,Warren County,0.0
36001,NY,Albany County,12.79
36003,NY,Allegany County,1.7000000000000002
36005,NY,Bronx County,43.11
36007,NY,Broome County,15.75
36009,NY,Cattaraugus County,3.0
36011,NY,Cayuga County,6.57
36013,NY,Chautauqua County,1.7000000000000002
36015,NY,Chemung County,9.83
36017,NY,Chenango County,9.49
36019,NY,Clinton County,11.8
36021,NY,Columbia County,16.86
36023,NY,Cortland County,4.36
36025,NY,Delaware County,5.0
36027,NY,Dutchess County,20.92
36029,NY,Erie County,24.53
36031,NY,Essex County,14.72
36033,NY,Franklin County,4.16
36035,NY,Fulton County,6.38
36037,NY,Genesee County,16.66
36039,NY,Greene County,14.81
36041,NY,Hamilton County,0.0
36043,NY,Herkimer County,5.8100000000000005
36045,NY,Jefferson County,2.9
36047,NY,Kings County,40.45
36049,NY,Lewis County,3.27
36051,NY,Livingston County,9.24
36053,NY,Madison County,5.23
36055,NY,Monroe County,13.01
36057,NY,Montgomery County,7.2
36059,NY,Nassau County,36.85
36061,NY,New York County,30.81
36063,NY,Niagara County,19.23
36065,NY,Oneida County,15.04
36067,NY,Onondaga County,11.06
36069,NY,Ontario County,6.85
36071,NY,Orange County,34.6
36073,NY,Orleans County,22.9
36075,NY,Oswego County,4.92
36077,NY,Otsego County,4.31
36079,NY,Putnam County,24.89
36081,NY,Queens County,41.07
36083,NY,Rensselaer County,10.75
36085,NY,Richmond County,34.1
36087,NY,Rockland County,41.39
36091,NY,Saratoga County,7.44
36093,NY,Schenectady County,15.86
36095,NY,Schoharie County,7.34
36097,NY,Schuyler County,6.23
36099,NY,Seneca County,20.51
36089,NY,St. Lawrence County,5.7
36101,NY,Steuben County,13.4
36103,NY,Suffolk County,38.32
36105,NY,Sullivan County,24.6
36107,NY,Tioga County,17.05
36109,NY,Tompkins County,2.47
36111,NY,Ulster County,24.76
36113,NY,Warren County,12.82
36115,NY,Washington County,16.7
36117,NY,Wayne County,7.47
36119,NY,Westchester County,36.18
36121,NY,Wyoming County,11.41
36123,NY,Yates County,18.2
37001,NC,Alamance County,10.87
37003,NC,Alexander County,0.0
37005,NC,Alleghany County,0.0
37007,NC,Anson County,28.05
37009,NC,Ashe County,0.0
37011,NC,Avery County,0.0
37013,NC,Beaufort County,3.23
37015,NC,Bertie County,20.62
37017,NC,Bladen County,20.0
37019,NC,Brunswick County,3.75
37021,NC,Buncombe County,3.8200000000000003
37023,NC,Burke County,10.95
37025,NC,Cabarrus County,11.61
37027,NC,Caldwell County,4.52
37029,NC,Camden County,0.0
37031,NC,Carteret County,5.71
37033,NC,Caswell County,24.46
37035,NC,Catawba County,8.91
37037,NC,Chatham County,33.13
37039,NC,Cherokee County,19.7
37041,NC,Chowan County,13.89
37043,NC,Clay County,10.0
37045,NC,Cleveland County,2.77
37047,NC,Columbus County,18.87
37049,NC,Craven County,7.72
37051,NC,Cumberland County,28.01
37053,NC,Currituck County,0.0
37055,NC,Dare County,0.0
37057,NC,Davidson County,10.46
37059,NC,Davie County,6.43
37061,NC,Duplin County,15.26
37063,NC,Durham County,15.64
37065,NC,Edgecombe County,29.93
37067,NC,Forsyth County,12.56
37069,NC,Franklin County,16.34
37071,NC,Gaston County,11.86
37073,NC,Gates County,0.0
37075,NC,Graham County,0.0
37077,NC,Granville County,20.95
37079,NC,Greene County,14.44
37081,NC,Guilford County,31.91
37083,NC,Halifax County,16.63
37085,NC,Harnett County,17.75
37087,NC,Haywood County,1.43
37089,NC,Henderson County,15.38
37091,NC,Hertford County,17.98
37093,NC,Hoke County,25.95
37095,NC,Hyde County,0.0
37097,NC,Iredell County,16.97
37099,NC,Jackson County,2.86
37101,NC,Johnston County,13.94
37103,NC,Jones County,50.0
37105,NC,Lee County,31.62
37107,NC,Lenoir County,11.21
37109,NC,Lincoln County,3.45
37113,NC,Macon County,0.0
37115,NC,Madison County,0.0
37117,NC,Martin County,11.38
37111,NC,McDowell County,4.53
37119,NC,Mecklenburg County,14.99
37121,NC,Mitchell County,6.19
37123,NC,Montgomery County,30.0
37125,NC,Moore County,40.11
37127,NC,Nash County,12.61
37129,NC,New Hanover County,14.12
37131,NC,Northampton County,30.54
37133,NC,Onslow County,3.43
37135,NC,Orange County,11.92
37137,NC,Pamlico County,0.0
37139,NC,Pasquotank County,46.24
37141,NC,Pender County,20.86
37143,NC,Perquimans County,13.89
37145,NC,Person County,11.41
37147,NC,Pitt County,7.35
37149,NC,Polk County,23.61
37151,NC,Randolph County,31.48
37153,NC,Richmond County,33.61
37155,NC,Robeson County,17.5
37157,NC,Rockingham County,7.5
37159,NC,Rowan County,21.09
37161,NC,Rutherford County,24.74
37163,NC,Sampson County,12.19
37165,NC,Scotland County,13.69
37167,NC,Stanly County,1.54
37169,NC,Stokes County,0.0
37171,NC,Surry County,2.49
37173,NC,Swain County,0.0
37175,NC,Transylvania County,5.5600000000000005
37177,NC,Tyrrell County,0.0
37179,NC,Union County,18.22
37181,NC,Vance County,21.49
37183,NC,Wake County,14.01
37185,NC,Warren County,5.0
37187,NC,Washington County,12.86
37189,NC,Watauga County,0.0
37191,NC,Wayne County,43.87
37193,NC,Wilkes County,0.0
37195,NC,Wilson County,24.23
37197,NC,Yadkin County,0.0
37199,NC,Yancey County,0.0
39001,OH,Adams County,0.0
39003,OH,Allen County,26.26
39005,OH,Ashland County,0.0
39007,OH,Ashtabula County,0.0
39009,OH,Athens County,0.0
39011,OH,Auglaize County,6.11
39013,OH,Belmont County,9.34
39015,OH,Brown County,0.0
39017,OH,Butler County,11.33
39019,OH,Carroll County,0.0
39021,OH,Champaign County,2.04
39023,OH,Clark County,4.38
39025,OH,Clermont County,2.86
39027,OH,Clinton County,5.5600000000000005
39029,OH,Columbiana County,36.32
39031,OH,Coshocton County,0.0
39033,OH,Crawford County,0.0
39035,OH,Cuyahoga County,13.27
39037,OH,Darke County,9.26
39039,OH,Defiance County,0.0
39041,OH,Delaware County,8.1
39043,OH,Erie County,6.28
39045,OH,Fairfield County,2.6
39047,OH,Fayette County,0.0
39049,OH,Franklin County,8.2
39051,OH,Fulton County,53.0
39053,OH,Gallia County,0.0
39055,OH,Geauga County,0.0
39057,OH,Greene County,6.94
39059,OH,Guernsey County,3.63
39061,OH,Hamilton County,14.1
39063,OH,Hancock County,10.0
39065,OH,Hardin County,8.33
39067,OH,Harrison County,0.0
39069,OH,Henry County,0.0
39071,OH,Highland County,0.0
39073,OH,Hocking County,0.0
39075,OH,Holmes County,0.0
39077,OH,Huron County,1.5899999999999999
39079,OH,Jackson County,5.5600000000000005
39081,OH,Jefferson County,8.32
39083,OH,Knox County,10.0
39085,OH,Lake County,13.98
39087,OH,Lawrence County,1.02
39089,OH,Licking County,6.08
39091,OH,Logan County,0.0
39093,OH,Lorain County,7.1
39095,OH,Lucas County,29.73
39097,OH,Madison County,3.33
39099,OH,Mahoning County,25.68
39101,OH,Marion County,3.36
39103,OH,Medina County,5.34
39105,OH,Meigs County,0.0
39107,OH,Mercer County,0.0
39109,OH,Miami County,8.42
39111,OH,Monroe County,0.0
39113,OH,Montgomery County,7.6
39115,OH,Morgan County,0.0
39117,OH,Morrow County,4.44
39119,OH,Muskingum County,0.55
39121,OH,Noble County,0.0
39123,OH,Ottawa County,26.19
39125,OH,Paulding County,0.0
39127,OH,Perry County,2.04
39129,OH,Pickaway County,16.35
39131,OH,Pike County,0.0
39133,OH,Portage County,20.0
39135,OH,Preble County,0.0
39137,OH,Putnam County,45.0
39139,OH,Richland County,5.93
39141,OH,Ross County,11.22
39143,OH,Sandusky County,5.0
39145,OH,Scioto County,2.23
39147,OH,Seneca County,5.5600000000000005
39149,OH,Shelby County,2.04
39151,OH,Stark County,22.43
39153,OH,Summit County,22.03
39155,OH,Trumbull County,35.45
39157,OH,Tuscarawas County,0.0
39159,OH,Union County,0.0
39161,OH,Van Wert County,0.0
39163,OH,Vinton County,0.0
39165,OH,Warren County,13.1
39167,OH,Washington County,10.15
39169,OH,Wayne County,21.52
39171,OH,Williams County,18.89
39173,OH,Wood County,10.83
39175,OH,Wyandot County,0.0
41001,OR,Baker County,0.0
41003,OR,Benton County,6.9
41005,OR,Clackamas County,6.07
41007,OR,Clatsop County,0.0
41009,OR,Columbia County,0.0
41011,OR,Coos County,0.0
41013,OR,Crook County,0.0
41015,OR,Curry County,20.0
41017,OR,Deschutes County,6.22
41019,OR,Douglas County,4.23
41021,OR,Gilliam County,0.0
41023,OR,Grant County,0.0
41025,OR,Harney County,0.0
41027,OR,Hood River County,0.0
41029,OR,Jackson County,0.88
41031,OR,Jefferson County,2.04
41033,OR,Josephine County,0.75
41035,OR,Klamath County,8.37
41037,OR,Lake County,0.0
41039,OR,Lane County,2.07
41041,OR,Lincoln County,2.04
41043,OR,Linn County,5.41
41045,OR,Malheur County,0.0
41047,OR,Marion County,16.95
41049,OR,Morrow County,0.0
41051,OR,Multnomah County,7.17
41053,OR,Polk County,2.47
41055,OR,Sherman County,0.0
41057,OR,Tillamook County,2.62
41059,OR,Umatilla County,7.16
41061,OR,Union County,0.0
41063,OR,Wallowa County,0.0
41065,OR,Wasco County,3.44
41067,OR,Washington County,4.91
41069,OR,Wheeler County,0.0
41071,OR,Yamhill County,2.85
42001,PA,Adams County,12.0
42003,PA,Allegheny County,10.28
42005,PA,Armstrong County,9.58
42007,PA,Beaver County,21.73
42009,PA,Bedford County,17.37
42011,PA,Berks County,43.04
42013,PA,Blair County,5.3
42015,PA,Bradford County,3.98
42017,PA,Bucks County,31.22
42019,PA,Butler County,7.62
42021,PA,Cambria County,5.09
42023,PA,Cameron County,0.0
42025,PA,Carbon County,19.4
42027,PA,Centre County,5.63
42029,PA,Chester County,26.1
42031,PA,Clarion County,5.1
42033,PA,Clearfield County,2.54
42035,PA,Clinton County,4.76
42037,PA,Columbia County,42.79
42039,PA,Crawford County,2.04
42041,PA,Cumberland County,23.83
42043,PA,Dauphin County,30.78
42045,PA,Delaware County,38.8
42047,PA,Elk County,0.0
42049,PA,Erie County,13.48
42051,PA,Fayette County,5.49
42053,PA,Forest County,0.0
42055,PA,Franklin County,14.18
42057,PA,Fulton County,5.5600000000000005
42059,PA,Greene County,3.75
42061,PA,Huntingdon County,12.65
42063,PA,Indiana County,13.52
42065,PA,Jefferson County,2.38
42067,PA,Juniata County,44.5
42069,PA,Lackawanna County,42.6
42071,PA,Lancaster County,25.67
42073,PA,Lawrence County,7.38
42075,PA,Lebanon County,31.58
42077,PA,Lehigh County,33.04
42079,PA,Luzerne County,35.56
42081,PA,Lycoming County,4.89
42083,PA,McKean County,13.33
42085,PA,Mercer County,13.55
42087,PA,Mifflin County,15.14
42089,PA,Monroe County,28.96
42091,PA,Montgomery County,28.49
42093,PA,Montour County,1.78
42095,PA,Northampton County,27.59
42097,PA,Northumberland County,33.94
42099,PA,Perry County,6.94
42101,PA,Philadelphia County,33.93
42103,PA,Pike County,26.22
42105,PA,Potter County,0.0
42107,PA,Schuylkill County,25.78
42109,PA,Snyder County,7.12
42111,PA,Somerset County,3.95
42113,PA,Sullivan County,0.0
42115,PA,Susquehanna County,34.34
42117,PA,Tioga County,0.9500000000000001
42119,PA,Union County,5.67
42121,PA,Venango County,1.5899999999999999
42123,PA,Warren County,4.17
42125,PA,Washington County,10.56
42127,PA,Wayne County,36.52
42129,PA,Westmoreland County,9.46
42131,PA,Wyoming County,12.57
42133,PA,York County,12.32
45001,SC,Abbeville County,31.94
45003,SC,Aiken County,35.43
45005,SC,Allendale County,25.0
45007,SC,Anderson County,19.81
45009,SC,Bamberg County,0.0
45011,SC,Barnwell County,22.11
45013,SC,Beaufort County,18.22
45015,SC,Berkeley County,15.82
45017,SC,Calhoun County,22.22
45019,SC,Charleston County,7.36
45021,SC,Cherokee County,10.32
45023,SC,Chester County,33.02
45025,SC,Chesterfield County,26.65
45027,SC,Clarendon County,58.55
45029,SC,Colleton County,20.49
45031,SC,Darlington County,41.86
45033,SC,Dillon County,42.5
45035,SC,Dorchester County,7.33
45037,SC,Edgefield County,66.83
45039,SC,Fairfield County,13.79
45041,SC,Florence County,39.4
45043,SC,Georgetown County,34.52
45045,SC,Greenville County,21.99
45047,SC,Greenwood County,28.34
45049,SC,Hampton County,27.9
45051,SC,Horry County,13.87
45053,SC,Jasper County,13.11
45055,SC,Kershaw County,17.94
45057,SC,Lancaster County,14.32
45059,SC,Laurens County,22.18
45061,SC,Lee County,32.31
45063,SC,Lexington County,31.29
45067,SC,Marion County,36.74
45069,SC,Marlboro County,30.07
45065,SC,McCormick County,51.0
45071,SC,Newberry County,27.35
45073,SC,Oconee County,8.49
45075,SC,Orangeburg County,12.43
45077,SC,Pickens County,5.8100000000000005
45079,SC,Richland County,39.37
45081,SC,Saluda County,29.42
45083,SC,Spartanburg County,13.61
45085,SC,Sumter County,49.71
45087,SC,Union County,11.67
45089,SC,Williamsburg County,38.49
45091,SC,York County,25.71
47001,TN,Anderson County,1.97
47003,TN,Bedford County,29.95
47005,TN,Benton County,2.86
47007,TN,Bledsoe County,19.25
47009,TN,Blount County,1.6099999999999999
47011,TN,Bradley County,12.2
47013,TN,Campbell County,1.77
47015,TN,Cannon County,25.54
47017,TN,Carroll County,2.83
47019,TN,Carter County,2.2
47021,TN,Cheatham County,3.05
47023,TN,Chester County,10.88
47025,TN,Claiborne County,0.0
47027,TN,Clay County,2.08
47029,TN,Cocke County,3.07
47031,TN,Coffee County,4.88
47033,TN,Crockett County,7.26
47035,TN,Cumberland County,2.9
47037,TN,Davidson County,14.59
47039,TN,Decatur County,8.33
47041,TN,DeKalb County,0.76
47043,TN,Dickson County,13.81
47045,TN,Dyer County,4.41
47047,TN,Fayette County,7.07
47049,TN,Fentress County,15.58
47051,TN,Franklin County,1.58
47053,TN,Gibson County,8.8
47055,TN,Giles County,7.34
47057,TN,Grainger County,0.0
47059,TN,Greene County,6.9
47061,TN,Grundy County,21.16
47063,TN,Hamblen County,3.13
47065,TN,Hamilton County,3.03
47067,TN,Hancock County,0.0
47069,TN,Hardeman County,0.84
47071,TN,Hardin County,1.25
47073,TN,Hawkins County,7.8
47075,TN,Haywood County,1.79
47077,TN,Henderson County,3.37
47079,TN,Henry County,1.21
47081,TN,Hickman County,0.75
47083,TN,Houston County,0.0
47085,TN,Humphreys County,1.02
47087,TN,Jackson County,0.0
47089,TN,Jefferson County,1.5
47091,TN,Johnson County,0.0
47093,TN,Knox County,2.38
47095,TN,Lake County,4.69
47097,TN,Lauderdale County,10.54
47099,TN,Lawrence County,4.63
47101,TN,Lewis County,0.0
47103,TN,Lincoln County,1.77
47105,TN,Loudon County,4.7
47111,TN,Macon County,2.88
47113,TN,Madison County,12.57
47115,TN,Marion County,1.9
47117,TN,Marshall County,15.37
47119,TN,Maury County,1.54
47107,TN,McMinn County,0.29
47109,TN,McNairy County,0.0
47121,TN,Meigs County,1.85
47123,TN,Monroe County,2.77
47125,TN,Montgomery County,4.41
47127,TN,Moore County,20.2
47129,TN,Morgan County,1.3
47131,TN,Obion County,1.94
47133,TN,Overton County,14.86
47135,TN,Perry County,25.0
47137,TN,Pickett County,0.0
47139,TN,Polk County,0.0
47141,TN,Putnam County,5.53
47143,TN,Rhea County,5.38
47145,TN,Roane County,1.23
47147,TN,Robertson County,12.39
47149,TN,Rutherford County,13.79
47151,TN,Scott County,16.88
47153,TN,Sequatchie County,0.0
47155,TN,Sevier County,0.73
47157,TN,Shelby County,12.54
47159,TN,Smith County,3.7199999999999998
47161,TN,Stewart County,3.6
47163,TN,Sullivan County,4.18
47165,TN,Sumner County,20.12
47167,TN,Tipton County,6.84
47169,TN,Trousdale County,2.75
47171,TN,Unicoi County,0.0
47173,TN,Union County,0.0
47175,TN,Van Buren County,0.0
47177,TN,Warren County,0.0
47179,TN,Washington County,3.99
47181,TN,Wayne County,4.29
47183,TN,Weakley County,2.04
47185,TN,White County,0.0
47187,TN,Williamson County,8.33
47189,TN,Wilson County,14.68
48001,TX,Anderson County,65.73
48003,TX,Andrews County,16.89
48005,TX,Angelina County,4.76
48007,TX,Aransas County,0.0
48009,TX,Archer County,0.0
48011,TX,Armstrong County,0.0
48013,TX,Atascosa County,20.0
48015,TX,Austin County,0.0
48017,TX,Bailey County,0.0
48019,TX,Bandera County,0.0
48021,TX,Bastrop County,10.58
48023,TX,Baylor County,0.0
48025,TX,Bee County,10.95
48027,TX,Bell County,19.64
48029,TX,Bexar County,14.63
48031,TX,Blanco County,0.0
48033,TX,Borden County,0.0
48035,TX,Bosque County,8.33
48037,TX,Bowie County,17.76
48039,TX,Brazoria County,16.75
48041,TX,Brazos County,13.44
48043,TX,Brewster County,0.0
48045,TX,Briscoe County,0.0
48047,TX,Brooks County,0.0
48049,TX,Brown County,0.0
48051,TX,Burleson County,0.0
48053,TX,Burnet County,13.1
48055,TX,Caldwell County,8.23
48057,TX,Calhoun County,24.17
48059,TX,Callahan County,0.0
48061,TX,Cameron County,13.48
48063,TX,Camp County,0.0
48065,TX,Carson County,0.0
48067,TX,Cass County,37.5
48069,TX,Castro County,0.0
48071,TX,Chambers County,6.67
48073,TX,Cherokee County,0.0
48075,TX,Childress County,0.0
48077,TX,Clay County,0.0
48079,TX,Cochran County,0.0
48081,TX,Coke County,0.0
48083,TX,Coleman County,0.0
48085,TX,Collin County,7.31
48087,TX,Collingsworth County,0.0
48089,TX,Colorado County,1.85
48091,TX,Comal County,3.61
48093,TX,Comanche County,0.0
48095,TX,Concho County,0.0
48097,TX,Cooke County,0.0
48099,TX,Coryell County,24.56
48101,TX,Cottle County,0.0
48103,TX,Crane County,0.0
48105,TX,Crockett County,0.0
48107,TX,Crosby County,0.0
48109,TX,Culberson County,0.0
48111,TX,Dallam County,0.0
48113,TX,Dallas County,17.18
48115,TX,Dawson County,37.62
48117,TX,Deaf Smith County,0.0
48119,TX,Delta County,0.0
48121,TX,Denton County,10.82
48123,TX,DeWitt County,8.33
48125,TX,Dickens County,0.0
48127,TX,Dimmit County,0.0
48129,TX,Donley County,0.0
48131,TX,Duval County,0.0
48133,TX,Eastland County,0.0
48135,TX,Ector County,8.36
48137,TX,Edwards County,0.0
48141,TX,El Paso County,10.86
48139,TX,Ellis County,13.16
48143,TX,Erath County,0.0
48145,TX,Falls County,0.0
48147,TX,Fannin County,12.93
48149,TX,Fayette County,15.19
48151,TX,Fisher County,0.0
48153,TX,Floyd County,0.0
48155,TX,Foard County,0.0
48157,TX,Fort Bend County,9.99
