Geographic Area Name,TCI
"Copiah, Mississippi",0.1
"Dinwiddie, Virginia",0.1
"Mifflin, Pennsylvania",0.1
"Hays, Texas",0.1
"Lee, Iowa",0.1
"Bonner, Idaho",0.1
"Sevier, Utah",0.0
"Iberia Parish, Louisiana",0.1
"Caldwell, Texas",0.0
"Jefferson, Ohio",0.1
"Wayne, New York",0.0
"Jasper, Indiana",0.1
"Bastrop, Texas",0.0
"Johnson, Texas",0.1
"Bedford, Virginia",0.0
"Winchester city, Virginia",0.1
"Kendall, Illinois",0.1
"Putnam, Florida",0.1
"Hanover, Virginia",0.1
"Todd, Minnesota",0.1
"Morrow, Oregon",0.1
"Licking, Ohio",0.1
"Danville city, Virginia",0.1
"Klickitat, Washington",0.1
"Harrison, Texas",0.1
"Carbon, Pennsylvania",0.1
"Clinton, Illinois",0.1
"Okeechobee, Florida",0.1
"York, South Carolina",0.0
"Garvin, Oklahoma",0.1
"Montgomery, Texas",0.0
"Wheeler, Oregon",0.0
"Johnston, North Carolina",0.1
"Essex, New York",0.1
"Fayette, West Virginia",0.1
"Mason, Kentucky",0.1
"Franklin, Virginia",0.0
"Elko, Nevada",0.1
"Pearl River, Mississippi",0.1
"Greenup, Kentucky",0.1
"McClain, Oklahoma",0.1
"Plaquemines Parish, Louisiana",0.0
"Hawkins, Tennessee",0.1
"Imperial, California",0.0
"Sullivan, New Hampshire",0.1
"Wilcox, Alabama",0.0
"Richmond, North Carolina",0.1
"Carter, Tennessee",0.0
"Monroe, Georgia",0.0
"Tioga, New York",0.0
"Madison, Mississippi",0.0
"Walker, Georgia",0.0
"Jefferson, Pennsylvania",0.0
"Jones, Mississippi",0.1
"Warrick, Indiana",0.0
"Flathead, Montana",0.1
"Chippewa, Wisconsin",0.1
"Fayette, Georgia",0.0
"Chatham, North Carolina",0.0
"Navajo, Arizona",0.0
"Bingham, Idaho",0.0
"Washington, Wisconsin",0.0
"DeKalb, Indiana",0.1
"Fayette, Texas",0.0
"Lapeer, Michigan",0.1
"Robertson, Tennessee",0.0
"Franklin, Missouri",0.1
"Greenbrier, West Virginia",0.0
"Jefferson, Alabama",0.2
"San Patricio, Texas",0.0
"Oconee, Georgia",0.0
"Warren, Iowa",0.0
"Clarke, Alabama",0.0
"Mecosta, Michigan",0.0
"Armstrong, Pennsylvania",0.0
"Washington, Virginia",0.0
"Surry, North Carolina",0.0
"Forsyth, Georgia",0.0
"Pulaski, Illinois",0.0
"Somerset, Maine",0.0
"Nassau, Florida",0.0
"Highlands, Florida",0.1
"Clermont, Ohio",0.1
"Columbia, Georgia",0.0
"Dyer, Tennessee",0.0
"Macon, Missouri",0.0
"Lauderdale, Mississippi",0.1
"LaSalle, Illinois",0.1
"Allegany, New York",0.0
"Wood, Texas",0.0
"Washington, Illinois",0.0
"Burnet, Texas",0.0
"Tangipahoa Parish, Louisiana",0.0
"Chemung, New York",0.0
"Shiawassee, Michigan",0.0
"Paulding, Georgia",0.0
"Steele, Minnesota",0.0
"Henderson, North Carolina",0.0
"Sumner, Tennessee",0.0
"Walton, Florida",0.0
"Essex, Vermont",0.0
"Christian, Kentucky",0.0
"Moore, North Carolina",0.0
"Iroquois, Illinois",0.0
"Bibb, Alabama",0.0
"Grays Harbor, Washington",0.0
"Lee, Texas",0.0
"Stokes, North Carolina",0.0
"Kershaw, South Carolina",0.0
"Doniphan, Kansas",0.0
"Pinal, Arizona",0.0
"Dallas, Alabama",0.0
"Ontario, New York",0.0
"Herkimer, New York",0.0
"Torrance, New Mexico",0.0
"Union, North Carolina",0.0
"Sagadahoc, Maine",0.0
"Putnam, West Virginia",0.0
"Cheatham, Tennessee",0.0
"Dare, North Carolina",0.0
"Hampton, South Carolina",0.0
"Cattaraugus, New York",0.0
"Greene, Pennsylvania",0.0
"Lee, Georgia",0.0
"Park, Colorado",0.0
"Charlotte, Florida",0.0
"Greene, New York",0.0
"Seneca, New York",0.0
"Santa Rosa, Florida",0.0
"St. Tammany Parish, Louisiana",0.0
"Dickson, Tennessee",0.0
"Maury, Tennessee",0.0
"Creek, Oklahoma",0.0
"Coweta, Georgia",0.0
"DeSoto, Mississippi",0.0
"Monroe, West Virginia",0.0
"Martin, Kentucky",0.0
"Delaware, New York",0.0
"Van Buren, Michigan",0.0
"Emery, Utah",0.0
"La Paz, Arizona",0.0
"Frederick, Virginia",0.0
"Bartow, Georgia",0.0
"Pike, Kentucky",0.0
"Aiken, South Carolina",0.0
"Chisago, Minnesota",0.0
"Perry, Alabama",0.0
"Pierce, Wisconsin",0.0
"Whiteside, Illinois",0.0
"Gilpin, Colorado",0.0
"Warren, Missouri",0.0
"Sauk, Wisconsin",0.0
"Brown, Ohio",0.0
"Wright, Minnesota",0.0
"Columbiana, Ohio",0.0
"Prince of Wales-Hyder Census Area, Alaska",0.0
"Beaufort, North Carolina",0.0
"Montgomery, Missouri",0.0
"Chattahoochee, Georgia",0.0
"Houston, Georgia",0.0
"Carteret, North Carolina",0.0
"Morgan, Utah",0.0
"Callaway, Missouri",0.0
"Botetourt, Virginia",0.0
"Raleigh, West Virginia",0.0
"Jo Daviess, Illinois",0.0
"Rankin, Mississippi",0.0
"Iredell, North Carolina",0.0
"Scioto, Ohio",0.0
"Adair, Missouri",0.0
"Starr, Texas",0.0
"Henderson, Illinois",0.0
"Washington, Ohio",0.0
"Garrett, Maryland",0.0
"Dodge, Wisconsin",0.0
"Franklin, Pennsylvania",0.0
"Boone, Iowa",0.0
"Wadena, Minnesota",0.0
"Beaufort, South Carolina",0.0
"Chambers, Texas",0.0
"Miami, Ohio",0.0
"Orange, Texas",0.0
"Sumter, Florida",0.0
"Hamilton, Indiana",0.0
"Grant, Wisconsin",0.0
"Aransas, Texas",0.0
"Perry, Pennsylvania",0.0
"St. Croix, Wisconsin",0.0
"Fairfield, Ohio",0.0
"Ashtabula, Ohio",0.0
"Le Flore, Oklahoma",0.0
"St. Charles Parish, Louisiana",0.0
"Columbia, Pennsylvania",0.0
"Whitman, Washington",0.0
"Buffalo, Wisconsin",0.0
"West Baton Rouge Parish, Louisiana",0.0
"Lincoln, North Carolina",0.0
"Lincoln, Nebraska",0.0
"Lincoln, New Mexico",0.0
"Lincoln, Nevada",0.0
"Lincoln, Oklahoma",0.0
"Lincoln, Tennessee",0.0
"Lincoln, Washington",0.0
"Lincoln, Wisconsin",0.0
"Lincoln, Wyoming",0.0
"Lincoln Parish, Louisiana",0.0
"Linn, Kansas",0.0
"Linn, Missouri",0.0
"Lipscomb, Texas",0.0
"Little River, Arkansas",0.0
"Live Oak, Texas",0.0
"Livingston, Kentucky",0.0
"Livingston, Michigan",0.0
"Livingston, Missouri",0.0
"Livingston Parish, Louisiana",0.0
"Llano, Texas",0.0
"Logan, Arkansas",0.0
"Logan, Colorado",0.0
"Logan, Kansas",0.0
"Logan, Kentucky",0.0
"Logan, North Dakota",0.0
"Logan, Nebraska",0.0
"Logan, Ohio",0.0
"Logan, Oklahoma",0.0
"Long, Georgia",0.0
"Lonoke, Arkansas",0.0
"Loudon, Tennessee",0.0
"Louisa, Iowa",0.0
"Louisa, Virginia",0.0
"Loup, Nebraska",0.0
"Love, Oklahoma",0.0
"Loving, Texas",0.0
"Lowndes, Alabama",0.0
"Lowndes, Georgia",0.0
"Lowndes, Mississippi",0.0
"Lucas, Iowa",0.0
"Luce, Michigan",0.0
"Lumpkin, Georgia",0.0
"Lunenburg, Virginia",0.0
"Lyman, South Dakota",0.0
"Lynn, Texas",0.0
"Lyon, Iowa",0.0
"Lyon, Kansas",0.0
"Lyon, Kentucky",0.0
"Lyon, Minnesota",0.0
"Lyon, Nevada",0.0
"Mackinac, Michigan",0.0
"Macon, Alabama",0.0
"Macon, Georgia",0.0
"Macon, North Carolina",0.0
"Macon, Tennessee",0.0
"Madison, Arkansas",0.0
"Madison, Florida",0.0
"Madison, Georgia",0.0
"Madison, Iowa",0.0
"Madison, Idaho",0.0
"Madison, Indiana",0.0
"Madison, Kentucky",0.0
"Madison, Missouri",0.0
"Madison, Montana",0.0
"Madison, North Carolina",0.0
"Madison, Nebraska",0.0
"Madison, New York",0.0
"Madison, Ohio",0.0
"Madison, Texas",0.0
"Madison Parish, Louisiana",0.0
"Magoffin, Kentucky",0.0
"Mahnomen, Minnesota",0.0
"Major, Oklahoma",0.0
"Manistee, Michigan",0.0
"Manitowoc, Wisconsin",0.0
"Marengo, Alabama",0.0
"Maries, Missouri",0.0
"Marinette, Wisconsin",0.0
"Marion, Alabama",0.0
"Marion, Arkansas",0.0
"Marion, Georgia",0.0
"Marion, Iowa",0.0
"Marion, Kansas",0.0
"Marion, Kentucky",0.0
"Marion, Missouri",0.0
"Marion, Mississippi",0.0
"Marion, Ohio",0.0
"Marion, Tennessee",0.0
"Marion, Texas",0.0
"Marlboro, South Carolina",0.0
"Marquette, Wisconsin",0.0
"Marshall, Alabama",0.0
"Marshall, Illinois",0.0
"Marshall, Indiana",0.0
"Marshall, Kansas",0.0
"Marshall, Kentucky",0.0
"Marshall, Minnesota",0.0
"Marshall, Mississippi",0.0
"Marshall, Oklahoma",0.0
"Marshall, South Dakota",0.0
"Marshall, Tennessee",0.0
"Martin, Indiana",0.0
"Martin, Minnesota",0.0
"Martin, North Carolina",0.0
"Martin, Texas",0.0
"Martinsville city, Virginia",0.0
"Mason, Illinois",0.0
"Mason, Michigan",0.0
"Mason, Texas",0.0
"Mason, West Virginia",0.0
"Massac, Illinois",0.0
"Matagorda, Texas",0.0
"Mathews, Virginia",0.0
"Maverick, Texas",0.0
"Mayes, Oklahoma",0.0
"McCone, Montana",0.0
"McCook, South Dakota",0.0
"McCormick, South Carolina",0.0
"McCreary, Kentucky",0.0
"McCulloch, Texas",0.0
"McCurtain, Oklahoma",0.0
"McDonald, Missouri",0.0
"McDowell, North Carolina",0.0
"McDowell, West Virginia",0.0
"McDuffie, Georgia",0.0
"McHenry, North Dakota",0.0
"McIntosh, Georgia",0.0
"McIntosh, North Dakota",0.0
"McIntosh, Oklahoma",0.0
"McKean, Pennsylvania",0.0
"McKenzie, North Dakota",0.0
"McLean, Kentucky",0.0
"McLean, North Dakota",0.0
"McLeod, Minnesota",0.0
"McMinn, Tennessee",0.0
"McMullen, Texas",0.0
"McNairy, Tennessee",0.0
"McPherson, Kansas",0.0
"McPherson, Nebraska",0.0
"McPherson, South Dakota",0.0
"Meade, Kansas",0.0
"Meade, Kentucky",0.0
"Meade, South Dakota",0.0
"Meagher, Montana",0.0
"Mecklenburg, Virginia",0.0
"Medina, Texas",0.0
"Meeker, Minnesota",0.0
"Meigs, Ohio",0.0
"Meigs, Tennessee",0.0
"Mellette, South Dakota",0.0
"Menard, Illinois",0.0
"Menard, Texas",0.0
"Menifee, Kentucky",0.0
"Menominee, Michigan",0.0
"Menominee, Wisconsin",0.0
"Mercer, Illinois",0.0
"Mercer, Kentucky",0.0
"Mercer, Missouri",0.0
"Mercer, North Dakota",0.0
"Mercer, Ohio",0.0
"Mercer, West Virginia",0.0
"Meriwether, Georgia",0.0
"Merrick, Nebraska",0.0
"Metcalfe, Kentucky",0.0
"Miami, Indiana",0.0
"Miami, Kansas",0.0
"Middlesex, Virginia",0.0
"Milam, Texas",0.0
"Millard, Utah",0.0
"Mille Lacs, Minnesota",0.0
"Miller, Georgia",0.0
"Miller, Missouri",0.0
"Mills, Iowa",0.0
"Mills, Texas",0.0
"Mineral, Colorado",0.0
"Mineral, Montana",0.0
"Mineral, Nevada",0.0
"Miner, South Dakota",0.0
"Minidoka, Idaho",0.0
"Missaukee, Michigan",0.0
"Mississippi, Arkansas",0.0
"Mississippi, Missouri",0.0
"Mitchell, Georgia",0.0
"Mitchell, Iowa",0.0
"Mitchell, Kansas",0.0
"Mitchell, North Carolina",0.0
"Mitchell, Texas",0.0
"Moffat, Colorado",0.0
"Moniteau, Missouri",0.0
"Monona, Iowa",0.0
"Monroe, Alabama",0.0
"Monroe, Arkansas",0.0
"Monroe, Iowa",0.0
"Monroe, Kentucky",0.0
"Monroe, Missouri",0.0
"Monroe, Mississippi",0.0
"Monroe, Ohio",0.0
"Monroe, Tennessee",0.0
"Montague, Texas",0.0
"Montcalm, Michigan",0.0
"Montezuma, Colorado",0.0
"Montgomery, Arkansas",0.0
"Montgomery, Georgia",0.0
"Montgomery, Iowa",0.0
"Montgomery, Illinois",0.0
"Montgomery, Kansas",0.0
"Montgomery, Kentucky",0.0
"Montgomery, Mississippi",0.0
"Montgomery, North Carolina",0.0
"Montmorency, Michigan",0.0
"Montour, Pennsylvania",0.0
"Montrose, Colorado",0.0
"Moody, South Dakota",0.0
"Moore, Tennessee",0.0
"Moore, Texas",0.0
"Mora, New Mexico",0.0
"Morehouse Parish, Louisiana",0.0
"Morgan, Alabama",0.0
"Morgan, Georgia",0.0
"Morgan, Illinois",0.0
"Morgan, Indiana",0.0
"Morgan, Kentucky",0.0
"Morgan, Missouri",0.0
"Morgan, Ohio",0.0
"Morgan, Tennessee",0.0
"Morgan, West Virginia",0.0
"Morrill, Nebraska",0.0
"Morris, Kansas",0.0
"Morris, Texas",0.0
"Morrison, Minnesota",0.0
"Morrow, Ohio",0.0
"Morton, Kansas",0.0
"Motley, Texas",0.0
"Moultrie, Illinois",0.0
"Muhlenberg, Kentucky",0.0
"Murray, Georgia",0.0
"Murray, Minnesota",0.0
"Murray, Oklahoma",0.0
"Muskogee, Oklahoma",0.0
"Musselshell, Montana",0.0
"Nance, Nebraska",0.0
"Natchitoches Parish, Louisiana",0.0
"Navarro, Texas",0.0
"Nelson, Kentucky",0.0
"Nelson, North Dakota",0.0
"Nemaha, Kansas",0.0
"Nemaha, Nebraska",0.0
"Neosho, Kansas",0.0
"Neshoba, Mississippi",0.0
"Ness, Kansas",0.0
"Nevada, Arkansas",0.0
"Newaygo, Michigan",0.0
"Newberry, South Carolina",0.0
"New Kent, Virginia",0.0
"New Madrid, Missouri",0.0
"Newton, Arkansas",0.0
"Newton, Georgia",0.0
"Newton, Indiana",0.0
"Newton, Mississippi",0.0
"Newton, Texas",0.0
"Nicholas, Kentucky",0.0
"Nicholas, West Virginia",0.0
"Nicollet, Minnesota",0.0
"Niobrara, Wyoming",0.0
"Noble, Indiana",0.0
"Noble, Ohio",0.0
"Noble, Oklahoma",0.0
"Nobles, Minnesota",0.0
"Nodaway, Missouri",0.0
"Nolan, Texas",0.0
"Nome Census Area, Alaska",0.0
"Norman, Minnesota",0.0
"Northampton, North Carolina",0.0
"Northampton, Virginia",0.0
"North Slope Borough, Alaska",0.0
"Northumberland, Pennsylvania",0.0
"Northumberland, Virginia",0.0
"Northwest Arctic Borough, Alaska",0.0
"Norton city, Virginia",0.0
"Norton, Kansas",0.0
"Nottoway, Virginia",0.0
"Nowata, Oklahoma",0.0
"Noxubee, Mississippi",0.0
"Nuckolls, Nebraska",0.0
"Nye, Nevada",0.0
"Obion, Tennessee",0.0
"O'Brien, Iowa",0.0
"Oceana, Michigan",0.0
"Ochiltree, Texas",0.0
"Oconto, Wisconsin",0.0
"Ogemaw, Michigan",0.0
"Oglala Lakota, South Dakota",0.0
"Ogle, Illinois",0.0
"Oglethorpe, Georgia",0.0
"Ohio, Indiana",0.0
"Ohio, Kentucky",0.0
"Okfuskee, Oklahoma",0.0
"Okmulgee, Oklahoma",0.0
"Oktibbeha, Mississippi",0.0
"Oldham, Texas",0.0
"Oliver, North Dakota",0.0
"Oneida, Idaho",0.0
"Oneida, Wisconsin",0.0
"Ontonagon, Michigan",0.0
"Orangeburg, South Carolina",0.0
"Orange, Indiana",0.0
"Orange, Virginia",0.0
"Oregon, Missouri",0.0
"Orleans, New York",0.0
"Osage, Kansas",0.0
"Osage, Missouri",0.0
"Osborne, Kansas",0.0
"Osceola, Iowa",0.0
"Osceola, Michigan",0.0
"Oscoda, Michigan",0.0
"Otero, New Mexico",0.0
"Otoe, Nebraska",0.0
"Otsego, Michigan",0.0
"Otsego, New York",0.0
"Ottawa, Kansas",0.0
"Ottawa, Ohio",0.0
"Ottawa, Oklahoma",0.0
"Otter Tail, Minnesota",0.0
"Ouachita, Arkansas",0.0
"Ouray, Colorado",0.0
"Overton, Tennessee",0.0
"Owen, Indiana",0.0
"Owen, Kentucky",0.0
"Owsley, Kentucky",0.0
"Owyhee, Idaho",0.0
"Oxford, Maine",0.0
"Ozark, Missouri",0.0
"Page, Iowa",0.0
"Page, Virginia",0.0
"Palo Alto, Iowa",0.0
"Palo Pinto, Texas",0.0
"Panola, Mississippi",0.0
"Panola, Texas",0.0
"Park, Wyoming",0.0
"Parke, Indiana",0.0
"Parker, Texas",0.0
"Parmer, Texas",0.0
"Pasquotank, North Carolina",0.0
"Patrick, Virginia",0.0
"Paulding, Ohio",0.0
"Pawnee, Kansas",0.0
"Pawnee, Nebraska",0.0
"Pawnee, Oklahoma",0.0
"Payne, Oklahoma",0.0
"Peach, Georgia",0.0
"Pecos, Texas",0.0
"Pembina, North Dakota",0.0
"Pemiscot, Missouri",0.0
"Pender, North Carolina",0.0
"Pendleton, Kentucky",0.0
"Pend Oreille, Washington",0.0
"Pennington, Minnesota",0.0
"Pepin, Wisconsin",0.0
"Perkins, Nebraska",0.0
"Perkins, South Dakota",0.0
"Perquimans, North Carolina",0.0
"Perry, Arkansas",0.0
"Perry, Indiana",0.0
"Perry, Kentucky",0.0
"Perry, Missouri",0.0
"Perry, Mississippi",0.0
"Perry, Ohio",0.0
"Perry, Tennessee",0.0
"Pershing, Nevada",0.0
"Person, North Carolina",0.0
"Petersburg Borough, Alaska",0.0
"Petroleum, Montana",0.0
"Phelps, Missouri",0.0
"Phillips, Arkansas",0.0
"Phillips, Colorado",0.0
"Phillips, Kansas",0.0
"Piatt, Illinois",0.0
"Pickaway, Ohio",0.0
"Pickens, Alabama",0.0
"Pickens, Georgia",0.0
"Pickett, Tennessee",0.0
"Pierce, Georgia",0.0
"Pierce, Nebraska",0.0
"Pike, Alabama",0.0
"Pike, Arkansas",0.0
"Pike, Georgia",0.0
"Pike, Illinois",0.0
"Pike, Indiana",0.0
"Pike, Missouri",0.0
"Pike, Ohio",0.0
"Pine, Minnesota",0.0
"Pipestone, Minnesota",0.0
"Piscataquis, Maine",0.0
"Pittsburg, Oklahoma",0.0
"Pittsylvania, Virginia",0.0
"Piute, Utah",0.0
"Platte, Nebraska",0.0
"Platte, Wyoming",0.0
"Pleasants, West Virginia",0.0
"Plymouth, Iowa",0.0
"Pocahontas, Iowa",0.0
"Pocahontas, West Virginia",0.0
"Poinsett, Arkansas",0.0
"Pointe Coupee Parish, Louisiana",0.0
"Polk, Arkansas",0.0
"Polk, Georgia",0.0
"Polk, Missouri",0.0
"Polk, North Carolina",0.0
"Polk, Nebraska",0.0
"Polk, Tennessee",0.0
"Polk, Texas",0.0
"Polk, Wisconsin",0.0
"Pondera, Montana",0.0
"Pontotoc, Mississippi",0.0
"Pontotoc, Oklahoma",0.0
"Pope, Arkansas",0.0
"Pope, Illinois",0.0
"Pope, Minnesota",0.0
"Poquoson city, Virginia",0.0
"Portage, Wisconsin",0.0
"Posey, Indiana",0.0
"Pottawatomie, Kansas",0.0
"Pottawatomie, Oklahoma",0.0
"Potter, Pennsylvania",0.0
"Potter, South Dakota",0.0
"Powder River, Montana",0.0
"Powell, Kentucky",0.0
"Powell, Montana",0.0
"Power, Idaho",0.0
"Poweshiek, Iowa",0.0
"Powhatan, Virginia",0.0
"Prairie, Arkansas",0.0
"Prairie, Montana",0.0
"Pratt, Kansas",0.0
"Preble, Ohio",0.0
"Prentiss, Mississippi",0.0
"Presidio, Texas",0.0
"Presque Isle, Michigan",0.0
"Price, Wisconsin",0.0
"Prince Edward, Virginia",0.0
"Pulaski, Georgia",0.0
"Pulaski, Indiana",0.0
"Pulaski, Kentucky",0.0
"Pulaski, Missouri",0.0
"Pushmataha, Oklahoma",0.0
"Putnam, Georgia",0.0
"Putnam, Illinois",0.0
"Putnam, Indiana",0.0
"Putnam, Missouri",0.0
"Putnam, Ohio",0.0
"Putnam, Tennessee",0.0
"Quay, New Mexico",0.0
"Quitman, Georgia",0.0
"Rabun, Georgia",0.0
"Rains, Texas",0.0
"Ralls, Missouri",0.0
"Randolph, Alabama",0.0
"Randolph, Arkansas",0.0
"Randolph, Georgia",0.0
"Randolph, Illinois",0.0
"Randolph, Indiana",0.0
"Randolph, Missouri",0.0
"Randolph, West Virginia",0.0
"Ransom, North Dakota",0.0
"Rapides Parish, Louisiana",0.0
"Rappahannock, Virginia",0.0
"Ravalli, Montana",0.0
"Rawlins, Kansas",0.0
"Ray, Missouri",0.0
"Reagan, Texas",0.0
"Real, Texas",0.0
"Red Lake, Minnesota",0.0
"Red River, Texas",0.0
"Red River Parish, Louisiana",0.0
"Redwood, Minnesota",0.0
"Reeves, Texas",0.0
"Refugio, Texas",0.0
"Renville, Minnesota",0.0
"Renville, North Dakota",0.0
"Republic, Kansas",0.0
"Reynolds, Missouri",0.0
"Rhea, Tennessee",0.0
"Rice, Kansas",0.0
"Rice, Minnesota",0.0
"Richardson, Nebraska",0.0
"Rich, Utah",0.0
"Richland, Illinois",0.0
"Richland, Montana",0.0
"Richland, North Dakota",0.0
"Richland, Wisconsin",0.0
"Richland Parish, Louisiana",0.0
"Richmond, Virginia",0.0
"Riley, Kansas",0.0
"Ringgold, Iowa",0.0
"Rio Blanco, Colorado",0.0
"Rio Grande, Colorado",0.0
"Ripley, Indiana",0.0
"Ripley, Missouri",0.0
"Ritchie, West Virginia",0.0
"Roane, Tennessee",0.0
"Roane, West Virginia",0.0
"Roberts, South Dakota",0.0
"Roberts, Texas",0.0
"Robertson, Kentucky",0.0
"Robertson, Texas",0.0
"Robeson, North Carolina",0.0
"Rockcastle, Kentucky",0.0
"Rock, Minnesota",0.0
"Rock, Nebraska",0.0
"Rockingham, North Carolina",0.0
"Roger Mills, Oklahoma",0.0
"Rogers, Oklahoma",0.0
"Rolette, North Dakota",0.0
"Rooks, Kansas",0.0
"Roosevelt, New Mexico",0.0
"Roscommon, Michigan",0.0
"Roseau, Minnesota",0.0
"Rosebud, Montana",0.0
"Ross, Ohio",0.0
"Routt, Colorado",0.0
"Rowan, Kentucky",0.0
"Runnels, Texas",0.0
"Rush, Indiana",0.0
"Rush, Kansas",0.0
"Rusk, Texas",0.0
"Rusk, Wisconsin",0.0
"Russell, Kansas",0.0
"Russell, Kentucky",0.0
"Russell, Virginia",0.0
"Rutherford, North Carolina",0.0
"Sabine, Texas",0.0
"Sabine Parish, Louisiana",0.0
"Sac, Iowa",0.0
"Saguache, Colorado",0.0
"Saline, Arkansas",0.0
"Saline, Illinois",0.0
"Saline, Missouri",0.0
"Saline, Nebraska",0.0
"Saluda, South Carolina",0.0
"Sampson, North Carolina",0.0
"San Augustine, Texas",0.0
"Sanborn, South Dakota",0.0
"Sanders, Montana",0.0
"Sandusky, Ohio",0.0
"Sanilac, Michigan",0.0
"San Jacinto, Texas",0.0
"San Juan, Colorado",0.0
"San Miguel, Colorado",0.0
"San Saba, Texas",0.0
"Santa Cruz, Arizona",0.0
"Sargent, North Dakota",0.0
"Saunders, Nebraska",0.0
"Sawyer, Wisconsin",0.0
"Schleicher, Texas",0.0
"Schley, Georgia",0.0
"Schoharie, New York",0.0
"Schoolcraft, Michigan",0.0
"Schuyler, Illinois",0.0
"Schuyler, Missouri",0.0
"Schuyler, New York",0.0
"Scotland, Missouri",0.0
"Scotland, North Carolina",0.0
"Scott, Arkansas",0.0
"Scott, Illinois",0.0
"Scott, Indiana",0.0
"Scott, Kansas",0.0
"Scott, Missouri",0.0
"Scott, Mississippi",0.0
"Scott, Tennessee",0.0
"Scott, Virginia",0.0
"Scotts Bluff, Nebraska",0.0
"Screven, Georgia",0.0
"Scurry, Texas",0.0
"Searcy, Arkansas",0.0
"Sedgwick, Colorado",0.0
"Seminole, Georgia",0.0
"Seminole, Oklahoma",0.0
"Seneca, Ohio",0.0
"Sequatchie, Tennessee",0.0
"Sequoyah, Oklahoma",0.0
"Sevier, Arkansas",0.0
"Seward, Kansas",0.0
"Seward, Nebraska",0.0
"Shackelford, Texas",0.0
"Shannon, Missouri",0.0
"Sharkey, Mississippi",0.0
"Sharp, Arkansas",0.0
"Shawano, Wisconsin",0.0
"Shelby, Alabama",0.0
"Shelby, Iowa",0.0
"Shelby, Illinois",0.0
"Shelby, Indiana",0.0
"Shelby, Kentucky",0.0
"Shelby, Missouri",0.0
"Shelby, Ohio",0.0
"Shelby, Texas",0.0
"Shenandoah, Virginia",0.0
"Sheridan, Kansas",0.0
"Sheridan, Montana",0.0
"Sheridan, North Dakota",0.0
"Sheridan, Nebraska",0.0
"Sheridan, Wyoming",0.0
"Sherman, Kansas",0.0
"Sherman, Nebraska",0.0
"Sherman, Oregon",0.0
"Sherman, Texas",0.0
"Shoshone, Idaho",0.0
"Sibley, Minnesota",0.0
"Sierra, California",0.0
"Sierra, New Mexico",0.0
"Simpson, Kentucky",0.0
"Simpson, Mississippi",0.0
"Sioux, Iowa",0.0
"Sioux, North Dakota",0.0
"Sioux, Nebraska",0.0
"Skagway Municipality, Alaska",0.0
"Slope, North Dakota",0.0
"Smith, Kansas",0.0
"Smith, Mississippi",0.0
"Smith, Tennessee",0.0
"Smyth, Virginia",0.0
"Snyder, Pennsylvania",0.0
"Socorro, New Mexico",0.0
"Somervell, Texas",0.0
"Southampton, Virginia",0.0
"Southeast Fairbanks Census Area, Alaska",0.0
"Spalding, Georgia",0.0
"Spencer, Indiana",0.0
"Spencer, Kentucky",0.0
"Spink, South Dakota",0.0
"Stafford, Kansas",0.0
"Stanley, South Dakota",0.0
"Stanly, North Carolina",0.0
"Stanton, Kansas",0.0
"Stanton, Nebraska",0.0
"Stark, Illinois",0.0
"Stark, North Dakota",0.0
"Starke, Indiana",0.0
"St. Clair, Alabama",0.0
"St. Clair, Missouri",0.0
"Steele, North Dakota",0.0
"Ste. Genevieve, Missouri",0.0
"Stephens, Oklahoma",0.0
"Stephens, Texas",0.0
"Stephenson, Illinois",0.0
"Sterling, Texas",0.0
"Steuben, Indiana",0.0
"Stevens, Kansas",0.0
"Stevens, Minnesota",0.0
"Stewart, Georgia",0.0
"Stewart, Tennessee",0.0
"St. Francis, Arkansas",0.0
"St. Francois, Missouri",0.0
"St. Helena Parish, Louisiana",0.0
"Stillwater, Montana",0.0
"St. James Parish, Louisiana",0.0
"St. John the Baptist Parish, Louisiana",0.0
"St. Joseph, Michigan",0.0
"St. Landry Parish, Louisiana",0.0
"St. Martin Parish, Louisiana",0.0
"St. Mary Parish, Louisiana",0.0
"Stoddard, Missouri",0.0
"Stone, Arkansas",0.0
"Stone, Missouri",0.0
"Stone, Mississippi",0.0
"Stonewall, Texas",0.0
"Storey, Nevada",0.0
"Stutsman, North Dakota",0.0
"Sublette, Wyoming",0.0
"Sullivan, Indiana",0.0
"Sullivan, Missouri",0.0
"Sully, South Dakota",0.0
"Sumner, Kansas",0.0
"Sumter, Alabama",0.0
"Sumter, Georgia",0.0
"Sunflower, Mississippi",0.0
"Susquehanna, Pennsylvania",0.0
"Sussex, Virginia",0.0
"Sutton, Texas",0.0
"Suwannee, Florida",0.0
"Swain, North Carolina",0.0
"Sweet Grass, Montana",0.0
"Sweetwater, Wyoming",0.0
"Swift, Minnesota",0.0
"Swisher, Texas",0.0
"Switzerland, Indiana",0.0
"Talbot, Georgia",0.0
"Taliaferro, Georgia",0.0
"Talladega, Alabama",0.0
"Tallahatchie, Mississippi",0.0
"Tallapoosa, Alabama",0.0
"Tama, Iowa",0.0
"Taney, Missouri",0.0
"Tate, Mississippi",0.0
"Tattnall, Georgia",0.0
"Taylor, Florida",0.0
"Taylor, Georgia",0.0
"Taylor, Iowa",0.0
"Taylor, Kentucky",0.0
"Taylor, Wisconsin",0.0
"Taylor, West Virginia",0.0
"Tazewell, Virginia",0.0
